image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/14-137-976-03.jpg,MSI,4.9,(21),MSI SHADOW GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 x 16 (use x8) Graphics Card RTX 5060 8G SHADOW 2X OC,RTX 5060 8G SHADOW 2X OC,$469.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-756-05.png,GIGABYTE,4.6,(300),GIGABYTE AERO GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card GV-N5080AERO OC-16GD,GV-N5080AERO OC-16GD,"$1,749.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-982-013-06.webp,MSI,,,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Graphics Card RTX 3060 Ventus 2X 12G OC,RTX 3060 Ventus 2X 12G OCV1,$479.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-755-05.png,GIGABYTE,4.6,(300),GIGABYTE AORUS GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card GV-N5080AORUS M-16GD,GV-N5080AORUS M-16GD,"$1,599.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-150-888-22.png,XFX,4.4,(16),XFX Speedster QICK309 Radeon RX 7600 XT 16GB Video Card RX-76TQICKBP,RX-76TQICKBP,$399.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-126-776-02.png,ASUS,4.7,(173),ASUS PRIME GeForce RTX 5080 16GB 256-Bit GDDR7 PCI-Express 5.0 DLSS 4.0 Graphics Card PRIME-RTX5080-16G,PRIME-RTX5080-16G,"$1,681.68 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-935-17.jpg,MSI,4.6,(393),MSI SHADOW GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 TI 16G SHADOW 3X OC,RTX 5070 TI 16G SHADOW 3X OC,"$1,169.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-944-11.jpg,MSI,4.7,(210),MSI SHADOW GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 12G SHADOW 2X OC,RTX 5070 12G SHADOW 2X OC,$970.90 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-767-02.jpg,GIGABYTE,4.8,(241),GIGABYTE AERO GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N507TAERO OC-16GD,GV-N507TAERO OC-16GD,"$1,259.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-658-08.jpg,GIGABYTE,4.7,(41),GIGABYTE WINDFORCE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Graphics Card GV-N3060WF2OC-12GD REV2.0,GV-N3060WF2OC-12GD REV2.0,$459.99 ,Free Shipping,$487.99
https://c1.neweggimages.com/productimage/nb300/14-126-756-12.png,ASUS,4.6,(248),ASUS PRIME GeForce RTX 5070 Ti 16GB GDDR7 OC Edition PCI Express 5.0 DLSS 4.0 Graphics Card PRIME-RTX5070TI-O16G,PRIME-RTX5070TI-O16G,"$1,199.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-749-02.jpg,GIGABYTE,4.8,(13),GIGABYTE WINDFORCE GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card GV-N3050WF2OCV2-6GD,GV-N3050WF2OCV2-6GD,$209.99 ,Free Shipping,$249.99
